District,City,Area,Address,PG_Name,Gender,Food,Sharing,AC,Distance_km,Latitude,Longitude,Budget
East Godavari,Rajahmundry,Danavaipeta,"Back side of Abhaya Hospital, Syamalanagar",Mythri Ladies hostel,Female,Yes,4 Sharing,No,3.3,17.01551,81.33442281,5000
East Godavari,Rajahmundry,Danavaipeta,"Back side of Abhaya Hospital, Syamalanagar",Mythri Ladies hostel,Female,No,4 Sharing,No,3.3,17.01551,81.33442281,4000
East Godavari,Rajahmundry,Danavaipeta,"Back side of Abhaya Hospital, Syamalanagar",Mythri Ladies hostel,Female,Yes,2 Sharing,Yes,3.3,17.01551,81.33442281,8000
East Godavari,Rajahmundry,Danavaipeta,"Back side of Abhaya Hospital, Syamalanagar",Mythri Ladies hostel,Female,Yes,2 Sharing,No,3.3,17.01551,81.33442281,7000
East Godavari,Rajahmundry,Danavaipeta,"Back side of Abhaya Hospital, Syamalanagar",Mythri Ladies hostel,Female,Yes,3 Sharing,No,3.3,17.01551,81.33442281,6500
East Godavari,Rajahmundry,Danavaipeta,Near Partha Saradi Hospital Opp Sri Chaitanya Woman Junior College,Haripriya Girls Hostel,Female,Yes,Single,No,3.3,17.01551,81.33442281,7000
East Godavari,Rajahmundry,Danavaipeta,Near Partha Saradi Hospital Opp Sri Chaitanya Woman Junior College,Haripriya Girls Hostel,Female,No,4 Sharing,No,3.3,17.01551,81.33442281,5000
East Godavari,Rajahmundry,Danavaipeta,Near Partha Saradi Hospital Opp Sri Chaitanya Woman Junior College,Haripriya Girls Hostel,Female,Yes,4 Sharing,No,3.3,17.01551,81.33442281,6500
East Godavari,Rajahmundry,Danavaipeta,Near Partha Saradi Hospital Opp Sri Chaitanya Woman Junior College,Haripriya Girls Hostel,Female,Yes,2 Sharing,No,3.3,17.01551,81.33442281,7500
East Godavari,Rajahmundry,Danavaipeta,"SKVT School Road, Danavaipeta",Satya Sai Ladies Hostel,Female,Yes,Single,No,3.3,17.01551,81.33442281,8000
East Godavari,Rajahmundry,Danavaipeta,"SKVT School Road, Danavaipeta",Satya Sai Ladies Hostel,Female,Yes,3 Sharing,No,3.3,17.01551,81.33442281,6500
East Godavari,Rajahmundry,Danavaipeta,"SKVT School Road, Danavaipeta",Satya Sai Ladies Hostel,Female,Yes,4 Sharing,No,3.3,17.01551,81.33442281,5500
East Godavari,Rajahmundry,Danavaipeta,"Near Tipsy Topsy, Danavaipeta",Subhodaya Girls Hostel,Female,No,Single,No,3.3,17.01551,81.33442281,8000
East Godavari,Rajahmundry,Danavaipeta,"Near Tipsy Topsy, Danavaipeta",Subhodaya Girls Hostel,Female,No,2 Sharing,No,3.3,17.01551,81.33442281,7000
East Godavari,Rajahmundry,Danavaipeta,"Near Tipsy Topsy, Danavaipeta",Subhodaya Girls Hostel,Female,Yes,Single,No,3.3,17.01551,81.33442281,9000
East Godavari,Rajahmundry,Danavaipeta,"Near Tipsy Topsy, Danavaipeta",Subhodaya Boys Hostel,Male,Yes,Single,No,3.3,17.01551,81.33442281,9000
East Godavari,Rajahmundry,Danavaipeta,"Near Tipsy Topsy, Danavaipeta",Subhodaya Boys Hostel,Male,Yes,2 Sharing,No,3.3,17.01551,81.33442281,7500
East Godavari,Rajahmundry,Danavaipeta,"Near Tipsy Topsy, Danavaipeta",Subhodaya Boys Hostel,Male,No,2 Sharing,No,3.3,17.01551,81.33442281,5500
East Godavari,Rajahmundry,Danavaipeta,"Near Tipsy Topsy, Danavaipeta",Subhodaya Boys Hostel,Male,Yes,4 Sharing,No,3.3,17.01551,81.33442281,7000
East Godavari,Rajahmundry,Danavaipeta,"Near Tipsy Topsy, Danavaipeta",Subhodaya Boys Hostel,Male,Yes,3 Sharing,No,3.3,17.01551,81.33442281,6500
East Godavari,Rajahmundry,Danavaipeta,"Chinna Anjaneya Swamy Temple Road beside Max Vision Eye Hospital, Danavaipeta",Sri RK Hostel,Male,No,3 Sharing,No,3.3,17.01551,81.33442281,5000
